"Schalter";"Leer";"Studien-ID";"Matrikelnr";"Leer";"Leer";"Leer";"LV-Nummer";"LV-Gruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 141";"03702276";"";"";"";"0000003438";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 030";"03709323";"";"";"";"0000003438";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 141";"03654219";"";"";"";"0000003438";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 141";"03693165";"";"";"";"0000003438";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 141";"03697042";"";"";"";"0000003438";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 141";"03707611";"";"";"";"0000003438";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 141";"03709255";"";"";"";"0000003438";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 030";"03674321";"";"";"";"0000003438";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 141";"03708925";"";"";"";"0000003438";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 030";"03709315";"";"";"";"0000003438";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 141";"03709787";"";"";"";"0000003438";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 030";"03694178";"";"";"";"0000003438";"Standardgruppe"
